customer_index,risk_category,risk_score,cluster_id,persona_label,top_driver_1,top_driver_1_shap_value,top_driver_1_actual_rating,top_driver_2,top_driver_2_shap_value,top_driver_2_actual_rating,top_driver_3,top_driver_3_shap_value,top_driver_3_actual_rating
1051,Medium,0.3838,C0,Hài Lòng Toàn Diện,biz_travel,-0.8016,0.0,Food and drink,-0.5976,5.0,Gate location,-0.5703,3.0
1052,Critical,0.9985,C1,Trải Nghiệm Kém,Seat comfort,-1.7345,2.0,Inflight entertainment,-0.9948,3.0,inflight_experience_score,-0.7698,2.57
1053,High,0.6985,C1,Trải Nghiệm Kém,Inflight entertainment,-1.356,3.0,Seat comfort,-1.0445,3.0,Ease of Online booking,-1.0093,1.0
1054,Very Low,0.15,C0,Hài Lòng Toàn Diện,Ease of Online booking,-0.1578,5.0,Checkin service,-0.0934,4.0,Class_ord,-0.0364,0.0
1055,Low,0.3,C0,Hài Lòng Toàn Diện,Cleanliness,-0.0732,4.0,was_na_Seat comfort,-0.0189,0.0,was_na_Online boarding,0.0,0.0
1056,Medium,0.3024,C0,Hài Lòng Toàn Diện,Inflight wifi service,-0.3191,5.0,Ease of Online booking,-0.2115,5.0,Cleanliness,-0.1476,4.0
1057,Low,0.3,C0,Hài Lòng Toàn Diện,loyal,-1.1575,0.0,Departure/Arrival time convenient,-0.1996,5.0,Age,-0.1307,26.0
1058,Very Low,0.1503,C0,Hài Lòng Toàn Diện,Cleanliness,-0.5793,3.0,Checkin service,-0.2761,1.0,Online support,-0.2046,3.0
1059,Medium,0.6602,C0,Hài Lòng Toàn Diện,Baggage handling,-0.553,3.0,Checkin service,-0.55,1.0,Cleanliness,-0.5314,3.0
1060,Very Low,0.3,C0,Hài Lòng Toàn Diện,Flight Distance,-0.2148,4479.0,On-board service,-0.1971,3.0,Departure Delay in Minutes,-0.1114,30.0
1061,High,0.8202,C1,Trải Nghiệm Kém,Inflight entertainment,-1.2672,3.0,Baggage handling,-0.671,3.0,Seat comfort,-0.6042,3.0
1062,Very Low,0.0,C0,Hài Lòng Toàn Diện,biz_travel,-0.6772,0.0,Class_ord,-0.1981,0.0,Seat comfort,-0.1512,3.0
1063,Critical,0.9989,C1,Trải Nghiệm Kém,Seat comfort,-1.232,3.0,Inflight entertainment,-1.0993,3.0,Gate location,-0.899,5.0
1064,Critical,0.9976,C1,Trải Nghiệm Kém,Seat comfort,-1.5587,2.0,inflight_experience_score,-0.9713,2.43,Inflight entertainment,-0.6722,2.0
1065,Medium,0.3003,C1,Trải Nghiệm Kém,Inflight entertainment,-1.0309,2.0,inflight_experience_score,-0.4375,2.71,Online support,-0.2726,2.0
1066,Very Low,0.2267,C0,Hài Lòng Toàn Diện,Departure/Arrival time convenient,-1.0351,,biz_travel,-0.6757,0.0,Class_ord,-0.3788,0.0
1067,Very Low,0.3,C0,Hài Lòng Toàn Diện,Food and drink,-0.2189,4.0,Inflight wifi service,-0.1106,5.0,was_na_Seat comfort,-0.0174,0.0
1068,Very Low,0.0,C0,Hài Lòng Toàn Diện,Departure/Arrival time convenient,-0.4793,5.0,Online support,-0.2495,3.0,Flight Distance,-0.2225,1414.0
1069,High,0.6999,C1,Trải Nghiệm Kém,Departure/Arrival time convenient,-1.4247,4.0,Seat comfort,-1.3811,2.0,Inflight entertainment,-1.2489,2.0
1070,Critical,0.8498,C1,Trải Nghiệm Kém,loyal,-2.942,0.0,Seat comfort,-2.0494,1.0,Inflight entertainment,-1.564,1.0
1071,Very Low,0.3,C0,Hài Lòng Toàn Diện,Cleanliness,-0.0769,4.0,was_na_Seat comfort,-0.0143,0.0,was_na_Departure/Arrival time convenient,-0.0001,0.0
1072,Critical,0.9994,C1,Trải Nghiệm Kém,loyal,-1.6127,0.0,Seat comfort,-1.2776,2.0,Inflight entertainment,-1.1468,2.0
1073,Very Low,0.075,C0,Hài Lòng Toàn Diện,biz_travel,-0.915,0.0,Flight Distance,-0.597,4132.0,Class_ord,-0.3358,1.0
1074,Medium,0.4663,C0,Hài Lòng Toàn Diện,loyal,-0.5963,0.0,Leg room service,-0.1374,3.0,Cleanliness,-0.1289,4.0
1075,Low,0.3,C0,Hài Lòng Toàn Diện,Cleanliness,-0.0513,4.0,Departure Delay in Minutes,-0.0467,4.0,was_na_Seat comfort,-0.0183,0.0
1076,High,0.7744,C1,Trải Nghiệm Kém,Seat comfort,-1.7288,3.0,Departure/Arrival time convenient,-1.6562,5.0,Inflight entertainment,-1.2293,3.0
1077,Medium,0.5687,C1,Trải Nghiệm Kém,Departure Delay in Minutes,-1.2379,392.0,biz_travel,-0.5072,0.0,Inflight entertainment,-0.4476,3.0
1078,Very Low,0.0,C0,Hài Lòng Toàn Diện,Age,-0.2278,53.0,Class_ord,-0.0994,0.0,was_na_Seat comfort,-0.0233,0.0
1079,Critical,0.9978,C1,Trải Nghiệm Kém,Seat comfort,-1.4227,2.0,Gate location,-0.7701,5.0,Class_ord,-0.7015,2.0
1080,Critical,0.9991,C0,Hài Lòng Toàn Diện,loyal,-3.9821,0.0,Age,-1.4482,35.0,Inflight entertainment,-1.0843,2.0
1081,Very Low,0.075,C0,Hài Lòng Toàn Diện,Departure Delay in Minutes,-0.4362,115.0,Class_ord,-0.2015,1.0,Food and drink,-0.1977,4.0
1082,High,0.7,C1,Trải Nghiệm Kém,Seat comfort,-2.457,1.0,Inflight entertainment,-1.9507,1.0,Departure/Arrival time convenient,-1.1828,5.0
1083,Low,0.3,C0,Hài Lòng Toàn Diện,Gate location,-0.4322,5.0,Departure/Arrival time convenient,-0.2776,5.0,Inflight wifi service,-0.2175,5.0
1084,Medium,0.3288,C0,Hài Lòng Toàn Diện,Class_ord,-0.4092,0.0,Departure Delay in Minutes,-0.3601,75.0,Cleanliness,-0.2161,4.0
1085,Very Low,0.0,C0,Hài Lòng Toàn Diện,biz_travel,-0.4182,0.0,Class_ord,-0.252,0.0,Age,-0.249,51.0
1086,Very Low,0.0,C0,Hài Lòng Toàn Diện,Class_ord,-0.2808,0.0,Flight Distance,-0.0545,1293.0,Checkin service,-0.0509,4.0
1087,Medium,0.6655,C1,Trải Nghiệm Kém,Cleanliness,-0.6781,3.0,Checkin service,-0.4653,1.0,Baggage handling,-0.2914,4.0
1088,Critical,0.8935,C1,Trải Nghiệm Kém,Inflight entertainment,-1.6057,3.0,Seat comfort,-1.0096,3.0,On-board service,-0.6714,1.0
1089,Very Low,0.0,C0,Hài Lòng Toàn Diện,delay_severity,-0.189,0.05,Age,-0.1425,70.0,Class_ord,-0.124,0.0
1090,Very Low,0.3,C1,Trải Nghiệm Kém,Flight Distance,-0.1876,2349.0,Age,-0.0543,50.0,Cleanliness,-0.0317,4.0
1091,Very Low,0.3,C0,Hài Lòng Toàn Diện,Class_ord,-0.0619,2.0,Checkin service,-0.0458,4.0,delay_severity,-0.0177,0.0
1092,Very Low,0.3,C0,Hài Lòng Toàn Diện,Cleanliness,-0.1471,3.0,inflight_experience_score,-0.1173,3.14,On-board service,-0.0269,3.0
1093,High,0.6978,C1,Trải Nghiệm Kém,Seat comfort,-2.0173,3.0,Departure/Arrival time convenient,-1.4889,5.0,biz_travel,-0.9853,0.0
1094,Very Low,0.0,C0,Hài Lòng Toàn Diện,biz_travel,-0.5702,0.0,Seat comfort,-0.1803,3.0,Class_ord,-0.1785,0.0
1095,Low,0.3,C0,Hài Lòng Toàn Diện,Flight Distance,-0.1204,2486.0,Cleanliness,-0.0574,4.0,Online boarding,-0.0377,4.0
1096,Critical,0.9916,C1,Trải Nghiệm Kém,Seat comfort,-1.3265,2.0,inflight_experience_score,-0.7231,2.43,Baggage handling,-0.6829,3.0
1097,Low,0.3,C0,Hài Lòng Toàn Diện,Gate location,-0.4221,5.0,Cleanliness,-0.2361,4.0,Food and drink,-0.1891,3.0
1098,High,0.6975,C1,Trải Nghiệm Kém,Inflight entertainment,-2.0227,1.0,Departure/Arrival time convenient,-1.8656,4.0,Seat comfort,-0.9816,1.0
1099,Very Low,0.3,C0,Hài Lòng Toàn Diện,delay_severity,-0.0225,0.0,was_na_Seat comfort,-0.0119,0.0,was_na_Online boarding,0.0,0.0
1100,Medium,0.6333,C0,Hài Lòng Toàn Diện,Cleanliness,-0.5754,3.0,Baggage handling,-0.5593,3.0,delay_severity,-0.4188,0.01
1101,Medium,0.4917,C0,Hài Lòng Toàn Diện,Cleanliness,-0.5182,3.0,Class_ord,-0.3242,0.0,Leg room service,-0.226,1.0
1102,Critical,0.9957,C1,Trải Nghiệm Kém,Seat comfort,-1.2505,3.0,Baggage handling,-0.5791,3.0,inflight_experience_score,-0.4539,3.0
1103,Very Low,0.3,C0,Hài Lòng Toàn Diện,Gate location,-0.2722,3.0,loyal,-0.1858,0.0,Online support,-0.1701,2.0
1104,Low,0.3,C0,Hài Lòng Toàn Diện,Baggage handling,-0.0868,2.0,Leg room service,-0.0592,1.0,Cleanliness,-0.0159,4.0
1105,Very Low,0.3,C0,Hài Lòng Toàn Diện,Gate location,-0.5257,3.0,Leg room service,-0.2707,3.0,Departure/Arrival time convenient,-0.2537,4.0
1106,Medium,0.3032,C1,Trải Nghiệm Kém,inflight_experience_score,-0.643,2.0,Leg room service,-0.5068,1.0,Departure/Arrival time convenient,-0.4204,1.0
1107,Low,0.3,C0,Hài Lòng Toàn Diện,Age,-0.1188,58.0,Flight Distance,-0.0999,1019.0,Checkin service,-0.0531,4.0
1108,Very Low,0.15,C0,Hài Lòng Toàn Diện,Ease of Online booking,-0.2274,5.0,Leg room service,-0.1411,3.0,Gate location,-0.1212,1.0
1109,Very Low,0.15,C0,Hài Lòng Toàn Diện,loyal,-0.9226,0.0,Class_ord,-0.2795,0.0,Departure/Arrival time convenient,-0.2355,
1110,Very Low,0.3,C0,Hài Lòng Toàn Diện,Departure Delay in Minutes,-0.7777,126.0,Gate location,-0.4757,5.0,Departure/Arrival time convenient,-0.1943,4.0
1111,Very Low,0.3,C0,Hài Lòng Toàn Diện,Gate location,-0.3223,5.0,Flight Distance,-0.1977,3104.0,Departure/Arrival time convenient,-0.1957,5.0
1112,Very Low,0.3,C0,Hài Lòng Toàn Diện,delay_severity,-0.1511,0.03,Departure Delay in Minutes,-0.0723,48.0,was_na_Seat comfort,-0.0195,0.0
1113,High,0.7749,C0,Hài Lòng Toàn Diện,Inflight entertainment,-1.5488,3.0,Seat comfort,-1.4612,3.0,biz_travel,-1.2751,0.0
1114,Medium,0.5624,C1,Trải Nghiệm Kém,On-board service,-0.4543,1.0,Baggage handling,-0.4078,3.0,Ease of Online booking,-0.384,2.0
1115,High,0.6999,C0,Hài Lòng Toàn Diện,Seat comfort,-1.7952,3.0,Inflight entertainment,-1.7617,3.0,Departure/Arrival time convenient,-1.6053,5.0
1116,Critical,1.0,C1,Trải Nghiệm Kém,loyal,-2.3407,0.0,Seat comfort,-1.3558,2.0,Inflight entertainment,-1.1525,3.0
1117,Medium,0.6528,C1,Trải Nghiệm Kém,Inflight entertainment,-1.6407,2.0,Seat comfort,-0.8978,1.0,inflight_experience_score,-0.8741,2.57
1118,Very Low,0.0,C0,Hài Lòng Toàn Diện,biz_travel,-0.3804,0.0,Class_ord,-0.2195,0.0,Age,-0.1192,51.0
1119,Very Low,0.3,C0,Hài Lòng Toàn Diện,Inflight wifi service,-0.1127,5.0,Flight Distance,-0.0281,2739.0,was_na_Seat comfort,-0.0145,0.0
1120,High,0.8487,C1,Trải Nghiệm Kém,loyal,-2.184,0.0,Seat comfort,-1.9481,2.0,Departure/Arrival time convenient,-1.2286,
1121,Very Low,0.225,C1,Trải Nghiệm Kém,inflight_experience_score,-0.3978,2.0,Gate location,-0.3194,4.0,Baggage handling,-0.2314,3.0
1122,Medium,0.4967,C1,Trải Nghiệm Kém,On-board service,-0.2708,1.0,Gate location,-0.2557,3.0,Food and drink,-0.2524,4.0
1123,Very Low,0.0931,C0,Hài Lòng Toàn Diện,Departure/Arrival time convenient,-0.4744,5.0,Gate location,-0.3098,5.0,Inflight wifi service,-0.1903,5.0
1124,High,0.8356,C1,Trải Nghiệm Kém,Seat comfort,-1.2366,3.0,Departure/Arrival time convenient,-1.1212,5.0,Ease of Online booking,-0.861,1.0
1125,Very Low,0.3,C0,Hài Lòng Toàn Diện,Gate location,-0.3931,5.0,Online support,-0.1998,2.0,was_na_Food and drink,-0.1413,1.0
1126,High,0.6969,C1,Trải Nghiệm Kém,Seat comfort,-0.9644,3.0,Inflight entertainment,-0.8364,2.0,inflight_experience_score,-0.8304,2.14
1127,Very Low,0.3,C0,Hài Lòng Toàn Diện,Online boarding,-0.0645,4.0,was_na_Seat comfort,-0.013,0.0,was_na_Online boarding,0.0,0.0
1128,Medium,0.3005,C0,Hài Lòng Toàn Diện,Cleanliness,-0.2261,4.0,Age,-0.185,54.0,Flight Distance,-0.0875,2968.0
1129,Very Low,0.0181,C0,Hài Lòng Toàn Diện,Inflight entertainment,-0.657,3.0,Online support,-0.3586,3.0,Online boarding,-0.1081,2.0
1130,Very Low,0.3,C1,Trải Nghiệm Kém,Class_ord,-0.2422,2.0,Gate location,-0.2207,2.0,Departure/Arrival time convenient,-0.1818,4.0
1131,High,0.8205,C1,Trải Nghiệm Kém,Inflight entertainment,-1.427,3.0,Cleanliness,-0.8612,3.0,Seat comfort,-0.6437,3.0
1132,Critical,0.8499,C1,Trải Nghiệm Kém,loyal,-2.3861,0.0,Seat comfort,-1.1668,2.0,Inflight entertainment,-1.0828,2.0
1133,Critical,0.9853,C1,Trải Nghiệm Kém,Cleanliness,-0.6892,3.0,Seat comfort,-0.6025,4.0,Class_ord,-0.5316,2.0
1134,High,0.7725,C1,Trải Nghiệm Kém,Inflight entertainment,-1.0017,2.0,Online support,-0.518,3.0,Seat comfort,-0.4325,2.0
1135,Very Low,0.3,C0,Hài Lòng Toàn Diện,Cleanliness,-0.1452,4.0,Online boarding,-0.0998,4.0,Checkin service,-0.0363,3.0
1136,Critical,0.925,C1,Trải Nghiệm Kém,loyal,-2.1986,0.0,Inflight entertainment,-1.4253,3.0,Age,-1.2217,32.0
1137,High,0.826,C1,Trải Nghiệm Kém,Inflight entertainment,-1.1292,3.0,Cleanliness,-0.6705,3.0,Online support,-0.5148,2.0
1138,High,0.6986,C1,Trải Nghiệm Kém,Seat comfort,-1.7492,2.0,Inflight entertainment,-1.4157,2.0,biz_travel,-1.1437,0.0
1139,Low,0.3,C0,Hài Lòng Toàn Diện,Cleanliness,-0.2896,3.0,Gate location,-0.2592,5.0,Departure/Arrival time convenient,-0.2345,5.0
1140,Medium,0.5532,C0,Hài Lòng Toàn Diện,Departure/Arrival time convenient,-0.7801,5.0,biz_travel,-0.6959,0.0,Age,-0.4373,69.0
1141,Low,0.3,C0,Hài Lòng Toàn Diện,Cleanliness,-0.1521,4.0,Online boarding,-0.0836,4.0,Age,-0.07,51.0
1142,High,0.6979,C1,Trải Nghiệm Kém,Seat comfort,-1.5745,2.0,Inflight entertainment,-1.5369,2.0,Departure/Arrival time convenient,-1.1835,4.0
1143,Very Low,0.3,C0,Hài Lòng Toàn Diện,Leg room service,-0.4106,3.0,Ease of Online booking,-0.3073,5.0,Inflight wifi service,-0.131,5.0
1144,Medium,0.3638,C0,Hài Lòng Toàn Diện,Flight Distance,-0.5477,3712.0,Cleanliness,-0.4217,3.0,Baggage handling,-0.3544,3.0
1145,High,0.6999,C1,Trải Nghiệm Kém,Seat comfort,-1.6563,2.0,Departure/Arrival time convenient,-1.4684,5.0,Inflight entertainment,-1.1322,2.0
1146,Low,0.3,C0,Hài Lòng Toàn Diện,Flight Distance,-0.5626,4012.0,Inflight wifi service,-0.2017,5.0,On-board service,-0.1789,3.0
1147,High,0.7719,C1,Trải Nghiệm Kém,Inflight entertainment,-1.3639,3.0,Seat comfort,-0.8465,3.0,Online support,-0.3788,3.0
1148,Very Low,0.3,C1,Trải Nghiệm Kém,inflight_experience_score,-0.5645,2.2,Inflight entertainment,-0.3621,1.0,Flight Distance,-0.2486,2331.0
1149,Low,0.3,C0,Hài Lòng Toàn Diện,Inflight entertainment,-0.6633,2.0,delay_severity,-0.131,0.02,Inflight wifi service,-0.1274,5.0
1150,Very Low,0.3,C0,Hài Lòng Toàn Diện,was_na_Seat comfort,-0.0118,0.0,was_na_Departure/Arrival time convenient,-0.0001,0.0,was_na_Online boarding,0.0,0.0
1151,Medium,0.3263,C0,Hài Lòng Toàn Diện,biz_travel,-0.7689,0.0,Food and drink,-0.4374,4.0,Gate location,-0.2457,1.0
1152,Very Low,0.1503,C0,Hài Lòng Toàn Diện,Gate location,-0.1979,3.0,Seat comfort,-0.1184,4.0,Age,-0.1078,33.0
1153,Very Low,0.3,C0,Hài Lòng Toàn Diện,Checkin service,-0.0885,4.0,delay_severity,-0.0198,0.0,was_na_Seat comfort,-0.0165,0.0
1154,Medium,0.3049,C1,Trải Nghiệm Kém,Online boarding,-0.3085,1.0,Checkin service,-0.2573,1.0,ground_experience_score,-0.147,3.0
1155,Very Low,0.3,C0,Hài Lòng Toàn Diện,Cleanliness,-0.1489,4.0,Checkin service,-0.0306,3.0,Online boarding,-0.0299,4.0
1156,High,0.6997,C1,Trải Nghiệm Kém,Seat comfort,-1.8176,3.0,Departure/Arrival time convenient,-1.4113,5.0,Inflight entertainment,-1.4001,3.0
1157,Critical,0.9983,C0,Hài Lòng Toàn Diện,loyal,-2.7078,0.0,Age,-1.5001,32.0,Inflight entertainment,-1.1054,3.0
1158,Medium,0.4668,C0,Hài Lòng Toàn Diện,Departure/Arrival time convenient,-0.4748,5.0,Online support,-0.3298,3.0,Departure Delay in Minutes,-0.2717,76.0
1159,Critical,0.9991,C1,Trải Nghiệm Kém,Seat comfort,-1.5567,2.0,Baggage handling,-0.6806,3.0,Ease of Online booking,-0.614,2.0
1160,Critical,0.85,C1,Trải Nghiệm Kém,loyal,-2.9393,0.0,Seat comfort,-2.1825,1.0,Inflight entertainment,-1.3827,1.0
1161,High,0.6999,C1,Trải Nghiệm Kém,Seat comfort,-1.5685,1.0,Inflight entertainment,-1.51,1.0,Departure/Arrival time convenient,-1.4307,4.0
1162,Very Low,0.3,C0,Hài Lòng Toàn Diện,Inflight entertainment,-0.865,3.0,Gate location,-0.5243,5.0,Departure/Arrival time convenient,-0.1757,5.0
1163,Medium,0.3003,C0,Hài Lòng Toàn Diện,Age,-0.6031,68.0,Food and drink,-0.5697,5.0,Baggage handling,-0.3368,3.0
1164,Low,0.3,C1,Trải Nghiệm Kém,Inflight entertainment,-0.8255,3.0,inflight_experience_score,-0.4232,2.2,Departure/Arrival time convenient,-0.1738,
1165,Very Low,0.15,C1,Trải Nghiệm Kém,loyal,-0.773,0.0,Class_ord,-0.251,0.0,Flight Distance,-0.179,1996.0
1166,High,0.8491,C1,Trải Nghiệm Kém,loyal,-1.5605,0.0,Seat comfort,-1.2281,2.0,Inflight entertainment,-1.0353,2.0
1167,Critical,0.9999,C1,Trải Nghiệm Kém,Seat comfort,-2.0016,3.0,loyal,-1.5009,0.0,Inflight entertainment,-1.2094,3.0
1168,Very Low,0.15,C0,Hài Lòng Toàn Diện,loyal,-0.8944,0.0,Departure/Arrival time convenient,-0.3502,5.0,Gate location,-0.2713,5.0
1169,Very Low,0.217,C0,Hài Lòng Toàn Diện,Inflight entertainment,-1.4191,3.0,biz_travel,-0.6463,0.0,Seat comfort,-0.6076,3.0
1170,Very Low,0.3,C0,Hài Lòng Toàn Diện,Food and drink,-0.454,5.0,Cleanliness,-0.13,4.0,Age,-0.1119,48.0
1171,Very Low,0.0,C0,Hài Lòng Toàn Diện,biz_travel,-0.3284,0.0,Class_ord,-0.2418,0.0,Flight Distance,-0.0772,2443.0
1172,Low,0.3,C0,Hài Lòng Toàn Diện,Online support,-0.3569,2.0,Checkin service,-0.1933,4.0,Cleanliness,-0.1695,4.0
1173,High,0.7,C1,Trải Nghiệm Kém,loyal,-1.7009,0.0,Seat comfort,-1.6434,2.0,Inflight entertainment,-1.3957,2.0
1174,Critical,0.9997,C1,Trải Nghiệm Kém,Inflight entertainment,-1.7005,1.0,Ease of Online booking,-1.5911,1.0,Seat comfort,-1.3009,1.0
1175,Medium,0.3003,C0,Hài Lòng Toàn Diện,Inflight entertainment,-1.239,3.0,Inflight wifi service,-0.2985,5.0,Online support,-0.185,3.0
1176,Very Low,0.0,C1,Trải Nghiệm Kém,Inflight entertainment,-1.2001,3.0,inflight_experience_score,-0.4088,2.86,Class_ord,-0.3047,0.0
1177,Critical,1.0,C1,Trải Nghiệm Kém,Seat comfort,-2.33,1.0,inflight_experience_score,-1.387,1.57,Inflight entertainment,-1.3021,1.0
1178,High,0.6995,C0,Hài Lòng Toàn Diện,Inflight entertainment,-1.6375,2.0,Seat comfort,-1.5244,2.0,Departure/Arrival time convenient,-1.1954,4.0
1179,High,0.6993,C0,Hài Lòng Toàn Diện,Seat comfort,-1.4592,3.0,Departure/Arrival time convenient,-1.4302,5.0,Inflight entertainment,-1.3518,3.0
1180,Very Low,0.3,C0,Hài Lòng Toàn Diện,Gate location,-0.2918,5.0,Departure/Arrival time convenient,-0.2641,5.0,Ease of Online booking,-0.1465,5.0
1181,Medium,0.5474,C0,Hài Lòng Toàn Diện,Departure/Arrival time convenient,-1.1409,5.0,biz_travel,-0.9604,0.0,Gate location,-0.3999,2.0
1182,Low,0.3,C0,Hài Lòng Toàn Diện,Flight Distance,-0.2202,3168.0,Cleanliness,-0.0359,4.0,was_na_Seat comfort,-0.0154,0.0
1183,Critical,0.85,C1,Trải Nghiệm Kém,Seat comfort,-2.0198,1.0,Ease of Online booking,-1.3133,1.0,inflight_experience_score,-1.1801,2.14
1184,High,0.6997,C0,Hài Lòng Toàn Diện,Inflight entertainment,-1.7036,2.0,Seat comfort,-1.6344,2.0,Departure/Arrival time convenient,-0.8694,4.0
1185,Critical,0.8499,C1,Trải Nghiệm Kém,loyal,-3.4743,0.0,Seat comfort,-1.8795,1.0,Inflight entertainment,-1.4337,1.0
1186,Critical,1.0,C1,Trải Nghiệm Kém,Seat comfort,-2.5853,1.0,inflight_experience_score,-1.4768,1.86,Inflight entertainment,-0.9542,3.0
1187,Low,0.3,C0,Hài Lòng Toàn Diện,Gate location,-0.507,5.0,Food and drink,-0.2688,3.0,Departure/Arrival time convenient,-0.11,5.0
1188,High,0.6992,C0,Hài Lòng Toàn Diện,Inflight entertainment,-1.6831,3.0,Seat comfort,-1.2602,3.0,biz_travel,-0.8265,0.0
1189,Critical,0.9768,C0,Hài Lòng Toàn Diện,loyal,-2.412,0.0,Seat comfort,-1.0004,2.0,Inflight entertainment,-0.8858,2.0
1190,Critical,0.9583,C1,Trải Nghiệm Kém,Seat comfort,-0.9805,2.0,inflight_experience_score,-0.8997,1.86,Class_ord,-0.6523,2.0
1191,Very Low,0.1613,C0,Hài Lòng Toàn Diện,Leg room service,-0.2887,1.0,Cleanliness,-0.2729,4.0,Class_ord,-0.255,0.0
1192,Very Low,0.0,C0,Hài Lòng Toàn Diện,biz_travel,-0.4218,0.0,Class_ord,-0.2014,0.0,Seat comfort,-0.0632,3.0
1193,Critical,0.9912,C1,Trải Nghiệm Kém,Inflight entertainment,-1.3896,3.0,Seat comfort,-0.8939,3.0,Baggage handling,-0.7106,3.0
1194,Low,0.3,C0,Hài Lòng Toàn Diện,was_na_Seat comfort,-0.0153,0.0,Cleanliness,-0.0049,4.0,delay_severity,-0.0003,0.0
1195,Critical,0.8497,C1,Trải Nghiệm Kém,Inflight entertainment,-1.3806,3.0,loyal,-1.2985,0.0,Seat comfort,-1.2189,3.0
1196,High,0.7725,C1,Trải Nghiệm Kém,Inflight entertainment,-1.2198,3.0,Seat comfort,-1.0817,3.0,Flight Distance,-0.4879,3332.0
1197,Medium,0.3005,C1,Trải Nghiệm Kém,inflight_experience_score,-0.6957,2.57,Departure Delay in Minutes,-0.5523,92.0,Cleanliness,-0.3546,1.0
1198,Very Low,0.3,C0,Hài Lòng Toàn Diện,Flight Distance,-0.0379,1017.0,delay_severity,-0.0307,0.0,was_na_Seat comfort,-0.0148,0.0
1199,Low,0.3,C0,Hài Lòng Toàn Diện,Gate location,-0.4518,5.0,Ease of Online booking,-0.418,5.0,Departure/Arrival time convenient,-0.316,5.0
1200,Low,0.3,C0,Hài Lòng Toàn Diện,Food and drink,-0.3746,5.0,Cleanliness,-0.1902,3.0,Inflight wifi service,-0.0563,4.0
1201,Critical,1.0,C1,Trải Nghiệm Kém,Seat comfort,-1.5922,2.0,Inflight entertainment,-1.0446,3.0,Gate location,-0.8762,5.0
1202,Medium,0.3003,C1,Trải Nghiệm Kém,Inflight entertainment,-0.5996,2.0,Online support,-0.5466,3.0,Checkin service,-0.1749,3.0
1203,High,0.6991,C1,Trải Nghiệm Kém,Inflight entertainment,-1.5312,2.0,Gate location,-1.3051,4.0,Seat comfort,-1.1748,2.0
1204,Critical,0.998,C1,Trải Nghiệm Kém,Seat comfort,-1.1369,2.0,inflight_experience_score,-1.0584,2.14,Online support,-0.7689,3.0
1205,High,0.845,C1,Trải Nghiệm Kém,loyal,-1.7808,0.0,Seat comfort,-1.2598,3.0,Inflight entertainment,-1.2334,3.0
1206,Low,0.3,C0,Hài Lòng Toàn Diện,Online support,-0.3198,2.0,Flight Distance,-0.1707,2779.0,Online boarding,-0.095,4.0
1207,Very Low,0.0,C0,Hài Lòng Toàn Diện,Class_ord,-0.2899,0.0,Flight Distance,-0.2146,1416.0,Seat comfort,-0.0921,3.0
1208,Very Low,0.0005,C1,Trải Nghiệm Kém,Departure Delay in Minutes,-0.5443,75.0,biz_travel,-0.3593,0.0,inflight_experience_score,-0.349,2.86
1209,High,0.6987,C0,Hài Lòng Toàn Diện,Inflight entertainment,-1.7486,3.0,Seat comfort,-1.4214,3.0,Gate location,-0.92,5.0
1210,High,0.6999,C1,Trải Nghiệm Kém,Departure/Arrival time convenient,-1.8355,5.0,Seat comfort,-1.7367,2.0,Inflight entertainment,-1.3172,2.0
1211,Very Low,0.0469,C1,Trải Nghiệm Kém,Seat comfort,-0.7088,3.0,Online support,-0.3717,3.0,Cleanliness,-0.3474,3.0
1212,Critical,0.9999,C1,Trải Nghiệm Kém,loyal,-3.6515,0.0,Age,-1.4343,33.0,Inflight entertainment,-1.3434,1.0
1213,High,0.6993,C1,Trải Nghiệm Kém,Seat comfort,-1.4048,3.0,Inflight entertainment,-1.1395,3.0,Ease of Online booking,-0.8567,1.0
1214,High,0.7611,C0,Hài Lòng Toàn Diện,Seat comfort,-1.0125,3.0,Inflight entertainment,-0.9797,3.0,Cleanliness,-0.659,3.0
1215,Very Low,0.1556,C0,Hài Lòng Toàn Diện,Class_ord,-0.1583,0.0,Inflight entertainment,-0.1218,2.0,Cleanliness,-0.1097,4.0
1216,Very Low,0.0003,C0,Hài Lòng Toàn Diện,Age,-0.2465,65.0,Class_ord,-0.2082,0.0,biz_travel,-0.0312,0.0
1217,Medium,0.4754,C0,Hài Lòng Toàn Diện,Inflight entertainment,-1.2703,3.0,Cleanliness,-0.2015,4.0,delay_severity,-0.1292,0.0
1218,Medium,0.5512,C1,Trải Nghiệm Kém,Inflight entertainment,-1.2757,3.0,Seat comfort,-0.483,3.0,Online support,-0.4678,3.0
1219,Very Low,0.3,C0,Hài Lòng Toàn Diện,Gate location,-0.6543,5.0,Flight Distance,-0.4565,3644.0,Departure/Arrival time convenient,-0.1379,3.0
1220,Medium,0.4014,C0,Hài Lòng Toàn Diện,loyal,-1.2361,0.0,Departure Delay in Minutes,-0.134,78.0,On-board service,-0.1237,3.0
1221,Critical,0.9998,C1,Trải Nghiệm Kém,Seat comfort,-1.6335,2.0,inflight_experience_score,-0.8212,2.57,Cleanliness,-0.6703,3.0
1222,Low,0.3,C0,Hài Lòng Toàn Diện,Leg room service,-0.2635,3.0,delay_severity,-0.2258,0.01,Inflight wifi service,-0.1778,5.0
